Round,Accuracy
1,17.84
2,44.35
3,51.69
4,55.16
5,56.46
6,57.25
7,60.45
8,60.78
9,60.96
10,61.94
11,62.69
12,62.24
13,61.35
14,63.42
15,62.84
16,63.51
17,63.19
18,64.15
19,64.87
20,64.38
21,63.99
22,64.98
23,64.44
24,65.06
25,64.92
26,65.56
27,64.89
28,65.06
29,65.23
30,65.73
31,65.58
32,66.04
33,65.28
34,66.48
35,65.63
36,65.61
37,66.61
38,66.9
39,66.3
40,67.51
41,66.0
42,67.35
43,66.71
44,66.91
45,65.85
46,66.65
47,66.8
48,67.71
49,67.12
50,67.1
