Round,Accuracy
1,17.46
2,57.67
3,64.43
4,66.32
5,66.34
6,66.96
7,66.61
8,66.61
9,66.76
10,67.74
11,67.81
12,67.75
13,68.11
14,66.66
15,68.13
16,67.95
17,68.45
18,67.88
19,68.33
20,68.74
21,68.85
22,68.84
23,69.05
24,68.72
25,68.51
26,69.37
27,68.96
28,68.77
29,68.77
30,69.11
31,68.56
32,68.99
33,69.53
34,69.42
35,68.99
36,69.0
37,69.01
38,69.4
39,68.91
40,69.55
41,68.89
42,69.63
43,69.72
44,69.94
45,69.36
46,70.25
47,69.75
48,69.89
49,69.13
50,69.67
