Round,Accuracy
1,17.39
2,32.85
3,44.98
4,45.76
5,51.17
6,51.51
7,53.17
8,56.04
9,57.05
10,56.1
11,57.83
12,57.92
13,59.09
14,59.81
15,59.74
16,59.5
17,60.93
18,61.0
19,61.98
20,59.46
21,61.21
22,62.21
23,61.62
24,61.82
25,62.23
26,61.59
27,62.04
28,62.71
29,62.83
30,62.61
31,62.37
32,62.75
33,64.48
34,63.86
35,62.24
36,63.6
37,63.98
38,64.11
39,64.11
40,64.53
41,63.7
42,64.69
43,65.38
44,63.97
45,65.32
46,64.29
47,65.17
48,64.41
49,64.98
50,65.01
