Round,Accuracy
1,17.2
2,41.42
3,48.55
4,54.2
5,55.65
6,56.26
7,60.92
8,61.46
9,61.51
10,59.88
11,58.58
12,60.63
13,61.51
14,63.26
15,62.64
16,62.54
17,63.03
18,61.65
19,60.22
20,60.75
21,63.96
22,63.64
23,63.72
24,64.48
25,64.28
26,63.73
27,65.62
28,64.38
29,65.57
30,64.81
31,63.54
32,64.24
33,64.08
34,66.01
35,65.9
36,65.76
37,66.53
38,65.55
39,65.44
40,66.76
41,66.08
42,65.72
43,66.49
44,65.08
45,66.58
46,66.43
47,66.06
48,65.8
49,65.57
50,66.77
