Round,Accuracy
1,21.96
2,46.34
3,53.28
4,58.25
5,61.28
6,61.57
7,62.92
8,63.52
9,64.12
10,64.0
11,63.97
12,65.32
13,63.86
14,65.3
15,65.65
16,65.52
17,65.43
18,66.78
19,66.24
20,65.95
21,66.42
22,67.05
23,66.98
24,66.47
25,66.99
26,67.27
27,67.68
28,67.41
29,67.74
30,67.47
31,67.53
32,67.55
33,66.89
34,67.64
35,68.24
36,66.86
37,67.79
38,67.61
39,68.3
40,68.32
41,68.06
42,67.7
43,67.39
44,68.59
45,68.27
46,68.28
47,68.59
48,68.37
49,69.16
50,68.1
