Round,Average_Accuracy,Client1,Client2
1,50.48,49.61,51.349999999999994
2,56.19,55.33,57.05
3,58.95,58.63,59.27
4,59.225,59.28,59.17
5,60.735,60.8,60.67
6,60.754999999999995,60.9,60.61
7,60.975,61.260000000000005,60.69
8,61.0,60.49,61.51
9,60.95,61.4,60.5
10,61.4,60.760000000000005,62.03999999999999
11,61.785000000000004,61.970000000000006,61.6
12,62.19,61.53999999999999,62.839999999999996
13,62.06999999999999,62.019999999999996,62.12
14,62.36,62.22,62.5
15,62.425,62.129999999999995,62.72
16,61.965,62.28,61.650000000000006
17,62.385000000000005,62.92,61.85000000000001
18,61.815,62.3,61.33
19,63.02,62.78,63.260000000000005
20,61.955,61.62,62.29
21,62.655,62.580000000000005,62.73
22,63.485,63.27,63.7
23,62.96,62.22,63.7
24,62.925000000000004,62.46000000000001,63.39
25,63.644999999999996,63.5,63.79
26,63.019999999999996,62.529999999999994,63.51
27,63.58,63.2,63.959999999999994
28,63.86,63.839999999999996,63.88
29,63.6,63.67,63.53
30,63.11,62.43,63.79
31,63.80500000000001,63.81,63.800000000000004
32,63.42,63.17,63.67
33,64.19500000000001,64.01,64.38000000000001
34,64.035,64.11,63.959999999999994
35,63.62,63.39,63.849999999999994
36,63.730000000000004,63.36000000000001,64.1
37,64.10499999999999,64.17,64.03999999999999
38,64.44,64.11,64.77000000000001
39,63.785,64.08,63.49
40,63.839999999999996,63.629999999999995,64.05
41,64.28999999999999,64.23,64.35
42,64.685,64.77000000000001,64.60000000000001
43,63.470000000000006,63.370000000000005,63.57000000000001
44,64.515,63.7,65.33
45,63.955000000000005,63.31,64.60000000000001
46,64.275,64.17,64.38000000000001
47,63.90999999999999,63.75999999999999,64.05999999999999
48,64.325,64.12,64.53
49,64.43,64.31,64.55
50,64.585,65.14999999999999,64.02
