Round,Average_Accuracy,Client1,Client2
1,40.565,36.07,45.06
2,40.56,38.129999999999995,42.99
3,43.07,38.49,47.65
4,42.285,36.52,48.05
5,42.54,39.6,45.48
6,44.230000000000004,38.93,49.53
7,43.05,37.56,48.54
8,43.965,39.5,48.43
9,44.285,39.14,49.43
10,44.86500000000001,39.160000000000004,50.57000000000001
11,44.265,40.22,48.309999999999995
12,45.95,40.089999999999996,51.81
13,43.504999999999995,39.72,47.29
14,45.09,38.879999999999995,51.300000000000004
15,44.09,39.2,48.980000000000004
16,44.30499999999999,37.35,51.25999999999999
17,43.61,37.97,49.25
18,45.504999999999995,39.45,51.559999999999995
19,45.315,39.18,51.449999999999996
20,46.41499999999999,40.089999999999996,52.739999999999995
21,45.239999999999995,38.97,51.51
22,45.3,39.77,50.83
23,45.285,39.25,51.32
24,45.135,40.75,49.519999999999996
25,46.485,41.339999999999996,51.629999999999995
