Round,Average_Accuracy,Client1,Client2
1,55.58,55.66,55.50000000000001
2,59.545,59.89,59.199999999999996
3,60.89,61.63999999999999,60.14000000000001
4,60.695,61.339999999999996,60.050000000000004
5,61.25,61.63999999999999,60.86
6,61.495000000000005,62.660000000000004,60.33
7,62.29,63.0,61.58
8,63.055,63.43,62.68
9,62.480000000000004,63.21,61.75000000000001
10,62.81,63.42,62.2
11,62.83,63.22,62.44
12,63.254999999999995,63.91,62.6
13,63.2,63.79,62.61
14,63.425,63.63999999999999,63.21
15,63.75,64.56,62.94
16,63.58500000000001,64.27000000000001,62.9
17,63.865,64.34,63.39
18,63.625,64.85,62.4
19,64.03,65.27,62.79
20,64.095,65.01,63.18
21,64.155,64.53,63.78
22,63.504999999999995,64.14999999999999,62.86000000000001
23,63.879999999999995,64.62,63.13999999999999
24,64.60499999999999,65.58,63.629999999999995
25,64.61500000000001,64.87,64.36
