Round,Average_Accuracy,Client1,Client2
1,38.275,32.64,43.91
2,42.32,36.53,48.11
3,42.59,37.66,47.52
4,45.18000000000001,38.39,51.970000000000006
5,44.495000000000005,37.46,51.53
6,44.28,37.940000000000005,50.62
7,46.25,39.900000000000006,52.6
8,46.535,40.36,52.71
9,47.23,40.01,54.449999999999996
10,45.5,39.77,51.23
11,46.61,40.489999999999995,52.73
12,46.64,40.53,52.75
13,46.545,39.93,53.16
14,46.31999999999999,40.19,52.449999999999996
15,47.285,40.510000000000005,54.059999999999995
16,46.575,39.83,53.32
17,46.129999999999995,40.33,51.93
18,46.94499999999999,41.54,52.349999999999994
19,47.61,40.8,54.42
20,47.53,40.58,54.48
21,48.135000000000005,41.31,54.96
22,47.57,40.71,54.43
23,46.61,41.349999999999994,51.870000000000005
24,46.825,40.25,53.400000000000006
25,46.595,40.88,52.31
26,48.57,41.69,55.45
27,48.519999999999996,40.339999999999996,56.699999999999996
28,47.325,40.27,54.379999999999995
29,48.69499999999999,41.699999999999996,55.69
30,47.489999999999995,41.13,53.849999999999994
31,47.894999999999996,41.3,54.49
32,47.78,40.96,54.6
33,47.38,40.64,54.120000000000005
34,48.125,41.29,54.96
35,48.695,41.510000000000005,55.879999999999995
36,48.935,41.959999999999994,55.910000000000004
37,48.980000000000004,41.730000000000004,56.230000000000004
38,49.06,41.47,56.65
39,48.650000000000006,41.6,55.7
40,48.239999999999995,40.93,55.55
41,48.095,40.79,55.400000000000006
42,48.940000000000005,41.88,56.00000000000001
43,49.065,42.059999999999995,56.07
44,48.545,41.620000000000005,55.47
45,48.57000000000001,41.24,55.900000000000006
46,48.86,41.71,56.010000000000005
47,49.11,41.620000000000005,56.599999999999994
48,49.040000000000006,41.88,56.2
49,49.510000000000005,41.9,57.120000000000005
50,49.54,41.31,57.769999999999996
