Round,Average_Accuracy,Client1,Client2
1,46.69,46.42,46.96
2,49.69499999999999,49.519999999999996,49.87
3,50.99,50.36000000000001,51.62
4,51.075,50.51,51.64
5,51.23,50.129999999999995,52.33
6,52.19,51.88,52.5
7,51.575,51.72,51.43
8,52.605000000000004,52.22,52.99
9,52.765,52.790000000000006,52.739999999999995
10,52.535,52.43,52.64
11,53.239999999999995,53.75,52.73
12,53.34,53.53,53.15
13,53.894999999999996,54.13,53.66
14,53.19499999999999,54.03,52.35999999999999
15,53.435,53.269999999999996,53.6
16,53.45,54.09,52.81
17,53.34,52.800000000000004,53.879999999999995
18,53.83,52.89,54.769999999999996
19,53.705,54.35,53.059999999999995
20,53.31,53.68000000000001,52.94
21,53.905,53.73,54.08
22,54.165,54.33,54.0
23,54.19,53.92,54.459999999999994
24,54.725,54.93,54.52
25,53.519999999999996,53.669999999999995,53.37
