Round,Accuracy
1,15.32
2,31.55
3,36.48
4,40.89
5,45.35
6,49.2
7,50.25
8,51.34
9,54.96
10,51.46
11,54.6
12,55.52
13,55.52
14,56.31
15,55.1
16,58.02
17,55.33
18,58.28
19,59.09
20,58.17
21,60.54
22,58.4
23,59.96
24,58.88
25,59.8
26,59.77
27,59.31
28,60.75
29,60.1
30,61.27
31,60.91
32,62.05
33,61.06
34,61.35
35,60.73
36,61.12
37,61.87
38,61.53
39,60.21
40,61.41
41,61.73
42,62.02
43,60.91
44,62.12
45,61.59
46,63.97
47,62.72
48,62.32
49,60.61
50,63.19
