Round,Accuracy
1,18.59
2,38.3
3,48.31
4,50.65
5,54.37
6,56.88
7,59.31
8,60.85
9,61.42
10,61.87
11,63.54
12,63.54
13,61.46
14,63.52
15,64.48
16,64.11
17,63.91
18,64.72
19,65.5
20,63.56
21,65.17
22,64.99
23,64.52
24,65.01
25,65.02
26,65.3
27,65.58
28,66.59
29,66.1
30,65.95
31,66.89
32,65.72
33,66.71
34,66.02
35,66.61
36,65.02
37,66.98
38,65.74
39,66.96
40,66.04
41,66.56
42,66.53
43,66.69
44,67.72
45,67.72
46,66.99
47,67.61
48,66.21
49,67.39
50,67.62
