Round,Accuracy
1,18.44
2,42.54
3,46.27
4,50.73
5,55.24
6,56.9
7,58.41
8,58.33
9,58.92
10,60.28
11,60.8
12,60.7
13,61.63
14,62.44
15,62.05
16,61.72
17,62.86
18,62.43
19,61.99
20,63.3
21,62.7
22,63.28
23,64.04
24,62.64
25,64.46
26,63.66
27,64.12
28,64.46
29,63.83
30,64.28
31,63.58
32,64.16
33,64.78
34,64.56
35,63.91
36,64.8
37,63.94
38,65.46
39,64.76
40,65.18
41,64.13
42,65.08
43,65.9
44,65.22
45,64.66
46,65.53
47,66.79
48,66.31
49,66.42
50,66.45
