Round,Accuracy
1,17.15
2,28.35
3,35.75
4,38.65
5,36.22
6,39.33
7,39.54
8,42.56
9,39.39
10,42.29
11,40.65
12,44.74
13,43.17
14,45.84
15,43.87
16,44.93
17,47.11
18,46.31
19,45.87
20,45.57
21,50.66
22,50.4
23,49.56
24,49.74
25,47.7
