Round,Accuracy
1,18.54
2,30.86
3,40.76
4,44.56
5,45.64
6,44.35
7,47.54
8,47.75
9,48.06
10,50.22
11,49.43
12,45.89
13,43.48
14,48.09
15,45.61
16,47.59
17,49.94
18,48.25
19,47.95
20,49.76
21,48.69
22,50.38
23,50.57
24,47.96
25,50.03
26,49.84
27,47.38
28,50.16
29,51.26
30,49.18
31,44.86
32,50.04
33,50.57
34,52.71
35,52.02
36,52.58
37,50.91
38,50.4
39,52.55
40,52.37
41,55.68
42,53.4
43,55.26
44,57.76
45,53.2
46,54.71
47,53.76
48,52.19
49,55.57
50,55.24
51,55.81
52,55.69
53,54.58
54,55.42
55,54.51
56,54.09
57,55.15
58,55.57
59,54.67
60,56.11
61,57.36
62,55.11
63,54.14
64,54.47
65,58.81
66,57.51
67,56.0
68,56.45
69,57.53
70,56.27
71,55.92
72,58.22
73,56.45
74,57.73
75,55.87
76,58.21
77,58.33
78,59.12
79,56.09
80,55.17
81,57.84
82,59.36
83,57.21
84,59.22
85,58.73
86,60.58
87,58.1
88,57.75
89,58.64
90,57.0
91,58.68
92,58.67
93,58.66
94,57.5
95,56.55
96,57.71
97,57.69
98,59.47
99,59.16
100,60.33
