Round,Accuracy
1,17.03
2,40.3
3,52.58
4,58.85
5,61.3
6,62.78
7,63.21
8,65.07
9,64.78
10,64.28
11,65.18
12,65.44
13,66.47
14,66.36
15,66.21
16,66.36
17,65.86
18,66.82
19,66.53
20,66.72
21,67.03
22,67.21
23,67.1
24,67.53
25,67.06
26,67.48
27,66.55
28,67.38
29,67.6
30,66.66
31,66.86
32,67.65
33,67.77
34,68.22
35,68.03
36,67.79
37,67.71
38,67.84
39,68.31
40,67.84
41,68.55
42,68.18
43,67.63
44,68.19
45,68.75
46,68.03
47,68.14
48,68.01
49,68.95
50,68.17
