Round,Accuracy
1,20.16
2,41.55
3,50.11
4,56.34
5,59.77
6,60.39
7,61.98
8,62.35
9,63.34
10,63.93
11,63.64
12,64.17
13,63.75
14,64.09
15,64.33
16,64.25
17,65.16
18,65.8
19,65.25
20,65.74
21,65.52
22,65.57
23,65.8
24,65.82
25,65.93
26,66.06
27,66.14
28,66.12
29,66.12
30,67.28
31,66.26
32,66.65
33,66.25
34,66.43
35,67.2
36,67.12
37,66.88
38,66.92
39,66.33
40,67.0
41,66.83
42,67.36
43,67.87
44,67.2
45,67.94
46,67.7
47,67.33
48,67.08
49,67.15
50,67.97
