Round,Accuracy
1,15.88
2,34.66
3,45.88
4,54.24
5,57.87
6,59.0
7,59.77
8,61.2
9,61.25
10,63.02
11,64.4
12,63.95
13,63.86
14,65.33
15,65.61
16,65.53
17,65.08
18,65.35
19,65.35
20,64.49
21,65.91
22,66.17
23,65.96
24,66.42
25,66.84
26,65.94
27,66.37
28,66.34
29,65.61
30,66.32
31,66.08
32,66.56
33,67.48
34,65.94
35,66.48
36,66.42
37,67.38
38,67.43
39,67.59
40,67.6
41,67.84
42,67.81
43,68.6
44,67.51
45,67.83
46,68.36
47,67.98
48,67.77
49,68.2
50,67.84
