Round,Average_Accuracy,Client1,Client2
1,32.8,27.939999999999998,37.66
2,36.745000000000005,34.79,38.7
3,35.6,33.050000000000004,38.15
4,33.84,29.04,38.64
5,32.61,35.43,29.79
6,33.375,32.66,34.089999999999996
7,34.07,32.39,35.75
8,33.754999999999995,32.41,35.099999999999994
9,33.97,34.38,33.56
10,33.895,38.550000000000004,29.24
11,33.535,32.66,34.410000000000004
12,34.945,38.14,31.75
13,32.650000000000006,36.77,28.53
14,34.32,37.69,30.95
15,29.375,31.64,27.11
16,33.52,35.85,31.19
17,34.4,30.220000000000002,38.58
18,34.06,37.980000000000004,30.14
19,34.01,35.0,33.019999999999996
20,34.185,32.99,35.38
21,34.004999999999995,33.98,34.03
22,33.885000000000005,36.38,31.39
23,34.629999999999995,36.809999999999995,32.45
24,35.085,32.57,37.6
25,34.565,33.900000000000006,35.23
26,33.78,38.17,29.39
27,34.839999999999996,35.339999999999996,34.339999999999996
28,35.32,38.21,32.43
29,35.015,38.91,31.119999999999997
30,35.655,38.49,32.82
31,35.83,34.99,36.67
32,36.57,38.43,34.71
33,37.239999999999995,37.07,37.41
34,34.415,38.96,29.87
35,35.635,37.19,34.08
36,35.745000000000005,34.77,36.720000000000006
37,34.015,39.17,28.860000000000003
38,34.785,34.74,34.83
39,34.644999999999996,34.98,34.31
40,34.305,38.800000000000004,29.81
41,33.769999999999996,34.089999999999996,33.45
42,33.485,38.03,28.939999999999998
43,34.45,33.35,35.55
44,34.879999999999995,38.0,31.759999999999998
45,34.02,33.910000000000004,34.13
46,34.965,35.86,34.07
47,35.315,36.08,34.55
48,33.86,38.81,28.910000000000004
49,35.265,36.58,33.95
50,34.715,37.34,32.09
