Round,Average_Accuracy,Client1,Client2
1,47.055,46.86,47.25
2,52.754999999999995,52.449999999999996,53.059999999999995
3,53.955,53.26,54.65
4,53.574999999999996,53.37,53.779999999999994
5,54.93000000000001,54.97,54.89000000000001
6,55.845,55.54,56.15
7,55.375,55.58,55.169999999999995
8,56.37,55.85,56.88999999999999
9,56.305,55.44,57.17
10,55.945,55.379999999999995,56.510000000000005
11,56.905,56.43,57.379999999999995
12,56.205,55.769999999999996,56.64
13,56.425,56.05,56.8
14,56.95,56.720000000000006,57.18
15,56.49,56.47,56.510000000000005
16,56.22,56.63,55.81
17,56.46000000000001,56.410000000000004,56.510000000000005
18,57.435,57.05,57.82000000000001
19,57.635,57.8,57.47
20,57.965,57.35,58.58
21,57.795,57.69,57.9
22,56.885000000000005,56.71000000000001,57.06
23,57.465,56.599999999999994,58.330000000000005
24,57.66,57.64,57.68
25,57.934999999999995,57.38999999999999,58.48
