Round,Average_Accuracy,Client1,Client2
1,55.88,55.31,56.45
2,59.8,59.75,59.85
3,61.83,60.96,62.7
4,61.489999999999995,60.440000000000005,62.53999999999999
5,62.224999999999994,61.419999999999995,63.029999999999994
6,62.265,61.550000000000004,62.980000000000004
7,62.675,61.51,63.839999999999996
8,62.845,61.809999999999995,63.88
9,63.330000000000005,62.17,64.49000000000001
10,62.985,61.46,64.51
11,62.985,62.050000000000004,63.92
12,63.480000000000004,62.35000000000001,64.61
13,63.42,62.44,64.4
14,64.11500000000001,63.870000000000005,64.36
15,63.855000000000004,62.79,64.92
16,63.78500000000001,62.36000000000001,65.21000000000001
17,63.28,62.28,64.28
18,64.36,63.67,65.05
19,64.21000000000001,63.3,65.12
20,64.43,63.68000000000001,65.18
21,64.615,63.660000000000004,65.57
22,64.36,63.57000000000001,65.14999999999999
23,64.28999999999999,63.23,65.35
24,64.64,63.65,65.63
25,65.05000000000001,64.11,65.99000000000001
