Round,Average_Accuracy,Client1,Client2
1,35.545,32.26,38.83
2,37.644999999999996,35.55,39.739999999999995
3,36.96,34.72,39.2
4,38.730000000000004,36.3,41.160000000000004
5,37.68,35.36,40.0
6,37.985,36.17,39.800000000000004
7,37.495,35.949999999999996,39.04
8,37.075,34.33,39.82
9,37.83,35.28,40.38
10,38.385,36.93,39.839999999999996
11,37.754999999999995,36.75,38.76
12,37.9,36.67,39.129999999999995
13,37.26,37.169999999999995,37.35
14,38.65,37.57,39.73
15,37.79,36.26,39.32
16,38.80500000000001,37.31,40.300000000000004
17,37.545,37.59,37.5
18,38.68000000000001,37.330000000000005,40.03
19,37.754999999999995,37.3,38.21
20,37.305,36.85,37.76
21,38.645,36.870000000000005,40.42
22,38.86,37.9,39.82
23,38.650000000000006,37.580000000000005,39.72
24,38.735,37.480000000000004,39.989999999999995
25,38.79,36.88,40.699999999999996
26,36.9,38.48,35.32
27,39.025000000000006,37.49,40.56
28,38.379999999999995,38.35,38.41
29,39.614999999999995,37.4,41.83
30,38.385,38.129999999999995,38.64
31,38.86,37.34,40.38
32,39.33,37.6,41.06
33,39.06,38.019999999999996,40.1
34,40.055,38.92,41.19
35,39.285,37.14,41.43
36,39.375,37.669999999999995,41.08
37,40.185,38.16,42.21
38,39.735,37.269999999999996,42.199999999999996
39,38.96,38.07,39.85
40,38.935,37.59,40.28
41,39.38499999999999,38.279999999999994,40.489999999999995
42,40.04,38.14,41.94
43,39.125,37.769999999999996,40.48
44,39.885,38.73,41.04
45,40.28,38.31,42.25
46,40.015,39.08,40.949999999999996
47,38.935,38.7,39.17
48,39.515,38.769999999999996,40.26
49,40.47,38.769999999999996,42.17
50,40.14,38.690000000000005,41.589999999999996
