Round,Average_Accuracy,Client1,Client2
1,50.98,50.62,51.339999999999996
2,58.805,59.63,57.98
3,62.114999999999995,62.31,61.919999999999995
4,64.26,64.92,63.6
5,64.68,64.91,64.45
6,66.21000000000001,67.11,65.31
7,65.855,66.01,65.7
8,66.16499999999999,66.57,65.75999999999999
9,66.285,66.36,66.21000000000001
10,66.525,66.99000000000001,66.06
11,67.19,67.42,66.96
12,66.895,66.96,66.83
13,67.37,67.81,66.93
14,67.36500000000001,67.9,66.83
15,67.93,68.21000000000001,67.65
16,67.935,68.07,67.80000000000001
17,67.14500000000001,67.54,66.75
18,68.21000000000001,68.5,67.92
19,68.235,68.56,67.91
20,68.11,68.43,67.78999999999999
21,69.02000000000001,69.12,68.92
22,68.6,68.78,68.42
23,69.41499999999999,70.15,68.67999999999999
24,68.35499999999999,68.74,67.97
25,68.57,68.81,68.33
26,69.33500000000001,69.64,69.03
27,69.465,69.66,69.27
28,69.4,69.5,69.3
29,68.93,68.56,69.3
30,70.0,69.62,70.38
31,69.235,69.16,69.31
32,69.13,68.87,69.39
33,69.205,69.08,69.33
34,69.43,69.48,69.38
35,69.98,69.64,70.32000000000001
36,70.18,70.56,69.8
37,69.94,69.66,70.22
38,69.535,69.64,69.43
39,70.13,70.19,70.07
40,70.24,70.30999999999999,70.17
41,69.735,69.89,69.58
42,70.155,70.47,69.84
43,70.06,70.24000000000001,69.88
44,70.235,70.41,70.06
45,70.22999999999999,70.07,70.39
46,70.16,70.02000000000001,70.3
47,69.935,69.96,69.91000000000001
48,70.155,70.11,70.19999999999999
49,70.53,70.47,70.59
50,70.38,70.5,70.26
