Round,Average_Accuracy,Client1,Client2
1,46.455,46.92,45.989999999999995
2,52.71,52.49,52.93
3,56.985,55.489999999999995,58.48
4,58.21,57.82000000000001,58.599999999999994
5,59.215,57.42,61.01
6,60.43000000000001,59.38,61.480000000000004
7,59.535000000000004,59.14,59.93000000000001
8,61.260000000000005,59.540000000000006,62.980000000000004
9,61.41,60.49,62.33
10,59.004999999999995,58.01,60.0
11,60.435,60.27,60.6
12,60.55,60.3,60.8
13,61.03,59.57,62.49
14,61.325,59.760000000000005,62.89
15,60.78,60.07,61.49
16,61.040000000000006,59.61,62.470000000000006
17,62.095,60.69,63.5
18,62.165,60.91,63.42
19,62.685,61.24000000000001,64.13
20,62.665000000000006,60.35,64.98
21,62.16,60.31999999999999,64.0
22,62.565,60.550000000000004,64.58
23,63.695,62.2,65.19
24,63.355000000000004,62.150000000000006,64.56
25,63.47,61.07,65.86999999999999
26,63.175,61.92999999999999,64.42
27,63.03999999999999,61.919999999999995,64.16
28,63.49,61.89,65.09
29,63.440000000000005,61.09,65.79
30,62.864999999999995,61.4,64.33
31,63.68,62.019999999999996,65.34
32,63.73499999999999,62.3,65.16999999999999
33,63.83,62.18,65.48
34,63.89,63.260000000000005,64.52
35,63.575,61.94,65.21000000000001
36,63.980000000000004,62.73,65.23
37,64.08,63.41,64.75
38,64.37,62.38,66.36
39,64.465,62.339999999999996,66.59
40,64.155,62.77,65.53999999999999
41,64.45,63.46000000000001,65.44
42,63.825,62.67,64.98
43,63.800000000000004,62.39,65.21000000000001
44,64.885,63.46000000000001,66.31
45,64.145,62.53999999999999,65.75
46,64.67500000000001,63.46000000000001,65.89
47,63.97,62.36000000000001,65.58
48,64.45,63.07000000000001,65.83
49,63.815,61.89,65.74
50,64.025,62.91,65.14
