Round,Average_Accuracy,Client1,Client2
1,50.795,49.75,51.839999999999996
2,56.06,54.83,57.29
3,59.795,59.019999999999996,60.57
4,59.269999999999996,58.14,60.4
5,60.97999999999999,60.419999999999995,61.53999999999999
6,60.875,59.79,61.96
7,61.15,60.61,61.69
8,61.58,60.150000000000006,63.01
9,61.175,60.23,62.12
10,61.78,60.28,63.28
11,61.730000000000004,59.88,63.580000000000005
12,62.45,61.370000000000005,63.53
13,62.605,62.07,63.13999999999999
14,62.305,61.7,62.91
15,62.735,62.4,63.07000000000001
16,62.45,61.28,63.62
17,62.52,61.77,63.27
18,62.545,61.45,63.63999999999999
19,62.955,62.239999999999995,63.67
20,63.095,61.44,64.75
21,63.504999999999995,63.12,63.89
22,63.585,62.89,64.28
23,63.879999999999995,63.519999999999996,64.24
24,63.665,62.61,64.72
25,63.45,62.41,64.49000000000001
26,63.935,62.980000000000004,64.89
27,63.83999999999999,62.51,65.16999999999999
28,64.525,63.690000000000005,65.36
29,64.71,63.85999999999999,65.56
30,64.08,63.11,65.05
31,64.245,63.580000000000005,64.91
32,64.495,63.980000000000004,65.01
33,64.56,63.39,65.73
34,63.769999999999996,62.89,64.64999999999999
35,63.43000000000001,62.36000000000001,64.5
36,64.97,64.92,65.02
37,64.82,64.11,65.53
38,64.245,63.580000000000005,64.91
39,64.525,63.39,65.66
40,64.81,63.46000000000001,66.16
41,64.33500000000001,63.7,64.97
42,65.09,64.49000000000001,65.69
43,64.41499999999999,63.63999999999999,65.19
44,65.25,64.42,66.08000000000001
45,64.745,63.94,65.55
46,65.315,64.39,66.24
47,65.32,64.39,66.25
48,65.015,64.4,65.63
49,64.705,64.45,64.96
50,64.92999999999999,63.99,65.86999999999999
