Round,Average_Accuracy,Client1,Client2
1,54.099999999999994,55.059999999999995,53.14
2,59.03,57.89,60.17
3,59.17,58.64,59.699999999999996
4,60.480000000000004,59.79,61.17
5,60.47,59.72,61.22
6,61.285,61.08,61.49
7,60.815000000000005,59.040000000000006,62.59
8,61.575,59.550000000000004,63.6
9,62.10000000000001,59.93000000000001,64.27000000000001
10,62.4,61.529999999999994,63.27
11,62.67,60.9,64.44
12,62.655,60.99,64.32
13,62.76,61.019999999999996,64.5
14,63.37,62.22,64.52
15,63.150000000000006,62.01,64.29
16,63.545,62.09,65.0
17,62.915000000000006,62.77,63.06
18,63.11,61.96,64.25999999999999
19,63.830000000000005,62.370000000000005,65.29
20,63.43000000000001,62.57,64.29
21,63.625,62.63999999999999,64.61
22,63.81,63.080000000000005,64.53999999999999
23,63.85,62.0,65.7
24,64.39,62.12,66.66
25,64.41,62.81,66.01
