Round,Average_Accuracy,Client1,Client2
1,37.745,34.62,40.87
2,36.635000000000005,34.96,38.31
3,37.785,36.71,38.86
4,36.815,36.74,36.89
5,35.745000000000005,37.1,34.39
6,33.465,31.89,35.04
7,36.42,34.910000000000004,37.93
8,37.885,33.36,42.41
9,35.81,36.32,35.3
10,34.605,35.949999999999996,33.26
11,34.835,35.13,34.54
12,33.735,34.31,33.160000000000004
13,38.644999999999996,36.9,40.39
14,37.595,36.66,38.53
15,33.475,37.64,29.310000000000002
16,35.42999999999999,37.62,33.239999999999995
17,36.150000000000006,36.09,36.21
18,37.485,38.12,36.85
19,36.995,37.419999999999995,36.57
20,34.265,37.15,31.380000000000003
21,35.28,37.769999999999996,32.79
22,35.625,38.83,32.42
23,38.5,38.0,39.0
24,35.18,38.15,32.21
25,36.39,38.129999999999995,34.65
