Round,Average_Accuracy,Client1,Client2
1,37.135,33.98,40.29
2,36.39,34.04,38.74
3,38.239999999999995,36.54,39.94
4,37.42,35.3,39.54
5,38.44,37.28,39.6
6,38.155,36.09,40.22
7,38.41,37.419999999999995,39.4
8,37.775000000000006,36.96,38.59
9,38.55,37.39,39.71
10,38.26,37.37,39.15
11,38.620000000000005,38.65,38.59
12,38.985,38.519999999999996,39.45
13,39.005,38.31,39.7
14,38.705,37.96,39.45
15,39.705,38.18,41.23
16,39.30499999999999,37.519999999999996,41.089999999999996
17,38.245,38.12,38.37
18,39.135000000000005,37.85,40.42
19,38.935,37.57,40.300000000000004
20,38.655,38.190000000000005,39.12
21,39.46,36.99,41.93
22,39.230000000000004,37.31,41.15
23,39.185,37.25,41.120000000000005
24,39.150000000000006,38.24,40.06
25,39.775000000000006,38.080000000000005,41.47
