Round,Accuracy
1,23.91
2,41.06
3,49.29
4,53.49
5,59.66
6,60.9
7,59.03
8,62.04
9,63.89
10,63.02
11,64.71
12,64.4
13,64.56
14,64.3
15,66.01
16,64.62
17,66.07
18,64.96
19,63.79
20,65.46
21,65.15
22,66.58
23,65.62
24,66.38
25,65.59
26,65.52
27,65.81
28,66.11
29,67.11
30,66.03
31,66.67
32,66.58
33,67.49
34,66.19
35,66.96
36,67.53
37,67.31
38,65.71
39,64.8
40,67.41
41,67.79
42,67.71
43,67.18
44,67.69
45,67.58
46,67.38
47,68.64
48,68.19
49,68.57
50,67.31
51,68.91
52,68.62
53,68.63
54,67.68
55,69.18
56,69.14
57,68.21
58,69.9
59,70.01
60,69.57
61,69.57
62,69.02
63,68.94
64,69.46
65,68.61
66,68.61
67,66.67
68,67.84
69,69.23
70,66.68
71,70.19
72,69.95
73,70.46
74,70.23
75,68.13
76,70.26
77,69.33
78,69.23
79,70.78
80,70.47
81,69.8
82,70.21
83,69.61
84,70.26
85,69.75
86,70.52
87,70.06
88,70.69
89,70.72
90,70.91
91,70.92
92,70.24
93,70.86
94,71.14
95,70.2
96,69.77
97,71.45
98,71.0
99,69.93
100,71.41
