Round,Accuracy
1,16.65
2,36.32
3,46.47
4,51.29
5,53.41
6,57.55
7,60.16
8,60.22
9,61.86
10,58.66
11,56.96
12,60.46
13,57.42
14,62.64
15,61.46
16,60.52
17,58.99
18,59.14
19,60.24
20,61.26
21,62.28
22,62.84
23,64.11
24,63.06
25,60.4
26,65.93
27,64.83
28,64.75
29,62.18
30,63.47
31,62.6
32,65.06
33,64.17
34,64.03
35,64.98
36,66.36
37,64.24
38,65.55
39,65.63
40,63.93
41,65.71
42,63.28
43,63.38
44,64.72
45,66.68
46,66.48
47,64.87
48,67.0
49,64.34
50,62.45
