Round,Accuracy
1,12.58
2,31.52
3,38.68
4,48.39
5,52.63
6,55.83
7,57.99
8,59.83
9,60.75
10,62.0
11,62.95
12,63.29
13,64.08
14,64.23
15,64.79
16,64.9
17,65.53
18,66.03
19,66.57
20,67.27
21,66.66
22,66.91
23,66.85
24,67.26
25,66.45
26,67.81
27,67.8
28,68.41
29,68.24
30,68.32
31,69.14
32,69.03
33,68.49
34,68.87
35,69.05
36,69.01
37,69.02
38,68.78
39,68.98
40,68.33
41,69.41
42,69.54
43,69.13
44,69.57
45,69.95
46,70.13
47,69.72
48,69.79
49,70.21
50,69.32
