Round,Accuracy
1,18.42
2,28.87
3,37.42
4,41.8
5,45.18
6,47.22
7,50.77
8,51.28
9,52.24
10,53.67
11,54.6
12,55.06
13,56.53
14,56.68
15,57.39
16,57.71
17,58.01
18,58.84
19,58.9
20,59.49
21,58.71
22,59.52
23,60.2
24,60.97
25,60.25
26,60.94
27,61.61
28,61.59
29,61.59
30,62.47
31,63.15
32,62.8
33,63.27
34,63.02
35,63.62
36,63.08
37,63.33
38,63.53
39,63.98
40,63.09
41,61.98
42,63.41
43,64.09
44,64.24
45,64.13
46,63.82
47,63.65
48,65.12
49,64.23
50,63.73
