Round,Accuracy
1,21.53
2,43.83
3,53.74
4,57.99
5,61.69
6,62.6
7,63.96
8,64.45
9,65.35
10,66.46
11,66.31
12,66.16
13,66.31
14,66.85
15,66.59
16,65.01
17,66.35
18,67.17
19,66.81
20,65.3
21,66.61
22,68.22
23,66.91
24,68.0
25,67.28
26,68.42
27,68.05
28,66.59
29,67.85
30,68.8
31,69.68
32,68.11
33,67.94
34,68.03
35,68.87
36,68.5
37,68.32
38,68.56
39,67.2
40,69.16
41,68.55
42,68.87
43,69.24
44,67.87
45,69.29
46,70.1
47,69.09
48,69.58
49,69.46
50,69.61
