Client,Class 0,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9
Client 1,1383,256,548,821,2082,655,928,163,3518,10
Client 2,2304,1031,3318,2049,222,33,0,810,76,3270
Client 3,6,401,610,82,42,1721,84,1287,66,77
Client 4,1292,703,8,332,1596,1104,3983,2738,973,1355
Client 5,15,2609,516,1716,1058,1487,5,2,367,288
