Round,Accuracy
1,21.12
2,49.79
3,60.28
4,62.96
5,64.9
6,64.91
7,65.59
8,66.38
9,66.15
10,66.09
11,66.32
12,66.85
13,66.87
14,67.23
15,67.01
16,67.21
17,68.45
18,67.74
19,67.7
20,68.1
21,67.56
22,68.35
23,68.49
24,68.47
25,68.05
26,68.32
27,68.87
28,68.82
29,68.47
30,68.66
31,68.82
32,68.62
33,68.19
34,68.68
35,69.24
36,68.94
37,69.25
38,69.21
39,68.89
40,68.91
41,68.77
42,69.1
43,68.85
44,69.24
45,68.65
46,68.8
47,68.74
48,68.91
49,67.93
50,69.03
