Round,Accuracy
1,13.07
2,18.22
3,29.15
4,32.41
5,33.14
6,34.04
7,36.41
8,39.44
9,33.77
10,38.45
11,38.73
12,40.43
13,41.91
14,39.45
15,42.07
16,44.41
17,42.57
18,43.23
19,45.85
20,43.95
21,43.86
22,41.78
23,44.42
24,43.44
25,44.44
26,46.62
27,46.3
28,47.5
29,47.85
30,50.33
31,46.12
32,46.53
33,48.48
34,48.88
35,47.87
36,44.65
37,49.48
38,48.72
39,47.97
40,48.33
41,52.3
42,50.29
43,50.51
44,46.67
45,52.1
46,50.94
47,47.16
48,53.34
49,52.23
50,50.06
