Round,Accuracy
1,19.57
2,43.45
3,49.46
4,54.32
5,58.32
6,60.0
7,60.62
8,62.47
9,62.42
10,64.63
11,63.24
12,63.05
13,64.73
14,64.66
15,65.65
16,64.87
17,65.51
18,64.87
19,65.4
20,65.44
21,66.03
22,66.93
23,66.84
24,66.4
25,67.05
26,66.11
27,66.77
28,66.41
29,66.83
30,66.86
31,66.74
32,67.19
33,66.76
34,67.49
35,66.86
36,67.4
37,67.7
38,67.41
39,67.59
40,67.6
41,68.62
42,68.06
43,67.89
44,68.08
45,68.28
46,68.06
47,68.72
48,69.2
49,68.29
50,69.04
