Round,Accuracy
1,19.82
2,45.22
3,57.39
4,58.61
5,63.24
6,65.67
7,65.54
8,66.53
9,65.68
10,67.14
11,66.67
12,67.49
13,68.7
14,67.36
15,69.33
16,68.02
17,68.81
18,68.92
19,68.3
20,68.77
21,69.4
22,69.68
23,69.92
24,69.36
25,70.38
26,69.92
27,69.33
28,70.69
29,70.28
30,68.9
31,70.01
32,69.79
33,69.89
34,69.8
35,71.04
36,71.03
37,70.56
38,70.89
39,70.15
40,70.87
41,70.74
42,70.06
43,71.66
44,71.03
45,71.13
46,70.47
47,70.25
48,71.51
49,69.7
50,71.59
