Round,Accuracy
1,16.83
2,35.35
3,49.79
4,53.54
5,58.76
6,59.88
7,63.3
8,63.36
9,64.79
10,64.99
11,64.96
12,65.48
13,66.41
14,67.24
15,67.52
16,68.48
17,68.1
18,68.45
19,67.22
20,67.72
21,67.47
22,69.21
23,66.24
24,68.2
25,68.82
26,68.69
27,69.46
28,69.1
29,69.65
30,69.76
31,68.49
32,69.27
33,70.2
34,69.34
35,70.59
36,70.52
37,70.3
38,70.38
39,69.86
40,70.45
41,70.31
42,70.23
43,69.76
44,70.35
45,71.08
46,69.95
47,71.05
48,70.59
49,70.19
50,71.34
