Round,Accuracy
1,15.52
2,42.79
3,49.55
4,56.16
5,58.28
6,59.57
7,58.32
8,60.92
9,60.19
10,63.05
11,63.84
12,60.33
13,62.89
14,62.63
15,62.16
16,61.47
17,61.96
18,62.57
19,59.53
20,63.55
21,64.54
22,64.0
23,62.91
24,65.92
25,64.49
26,64.39
27,64.21
28,64.16
29,64.49
30,66.32
31,65.2
32,64.63
33,64.56
34,64.35
35,66.18
36,65.56
37,66.28
38,65.71
39,66.6
40,66.12
41,66.2
42,66.15
43,67.01
44,67.1
45,67.37
46,66.11
47,66.31
48,65.14
49,67.16
50,66.07
