Round,Accuracy
1,17.21
2,45.46
3,53.96
4,59.25
5,59.61
6,62.99
7,63.55
8,64.33
9,64.1
10,64.3
11,65.29
12,65.07
13,65.11
14,64.77
15,65.41
16,66.1
17,65.88
18,66.8
19,64.92
20,66.33
21,66.38
22,66.15
23,65.69
24,66.03
25,67.04
26,67.19
27,67.19
28,68.04
29,67.61
30,67.37
31,67.99
32,68.99
33,67.16
34,68.18
35,69.0
36,68.42
37,68.91
38,67.94
39,68.24
40,69.0
41,68.77
42,69.21
43,68.56
44,69.28
45,68.68
46,68.75
47,68.93
48,69.42
49,69.77
50,69.59
