Round,Accuracy
1,16.38
2,28.71
3,35.42
4,42.25
5,46.26
6,41.14
7,46.94
8,44.09
9,45.75
10,45.3
11,41.3
12,47.58
13,49.11
14,44.02
15,47.44
16,48.74
17,49.81
18,49.56
19,48.01
20,51.06
21,50.16
22,46.63
23,46.54
24,46.57
25,47.39
26,49.56
27,49.27
28,54.07
29,52.25
30,52.59
31,52.8
32,54.26
33,54.66
34,50.81
35,55.15
36,52.67
37,53.07
38,53.01
39,56.5
40,56.75
41,54.86
42,52.87
43,52.71
44,54.69
45,55.93
46,55.17
47,54.45
48,58.42
49,54.61
50,57.49
