iteration,loss,proto loss,total loss
0,2.3467986583709717
100,1.8832942247390747
200,1.5935953855514526,1.6942702531814575,1.6938675045967102
300,1.5695470571517944,1.3633026480674744,1.3641275763511658
390,1.626075565814972,1.4273720979690552,1.42896169424057
490,1.4273669719696045,1.3044307231903076,1.3054141998291016
590,1.4561155438423157,1.3809648752212524,1.381566047668457
690,1.479236900806427,1.4357851147651672,1.4361327290534973
780,1.249392330646515,1.1242314577102661,1.1257333159446716
880,1.1579975485801697,1.0558470487594604,1.0570728182792664
980,1.229804515838623,1.1459699273109436,1.1469759345054626
1080,1.1344526410102844,1.1161076426506042,1.116327702999115
1170,0.9568099081516266,0.853314995765686,0.8549709320068359
1270,1.0163065791130066,0.9695253372192383,0.9702738523483276
1370,1.15818190574646,1.147963672876358,1.1481271982192993
1470,0.8927180469036102,0.841964066028595,0.8427761197090149
1560,0.9852121770381927,0.9568777084350586,0.957444429397583
1660,0.9076111316680908,0.8555280268192291,0.8565696775913239
1760,1.0667596757411957,1.0486371517181396,1.0489996373653412
1860,1.0088137984275818,0.9809158146381378,0.9814737737178802
1950,0.8191221654415131,0.79038006067276,0.7910698652267456
2050,0.9423943758010864,0.908837765455246,0.909643143415451
2150,0.7509495615959167,0.7385620474815369,0.7388593256473541
2250,0.8999630212783813,0.8646769821643829,0.8655238747596741
2340,0.7726570963859558,0.746771514415741,0.7474963068962097
2440,0.7440789341926575,0.7305470407009125,0.7309259176254272
2540,0.7521117627620697,0.731112003326416,0.7317000031471252
2640,0.8342044055461884,0.8347670435905457,0.8347512781620026
2730,0.8066793084144592,0.7614395022392273,0.762887179851532
2830,0.6738656163215637,0.6628832519054413,0.6632347106933594
2930,0.6803102791309357,0.687456339597702,0.6872276663780212
3030,0.8475730121135712,0.8382090926170349,0.8385087549686432
3120,0.7752815186977386,0.7695693671703339,0.769775003194809
3220,0.6288871765136719,0.6241158246994019,0.6242875754833221
3320,0.7479929327964783,0.7234234809875488,0.7243079543113708
3420,0.7731512486934662,0.7586437165737152,0.7591659426689148
3510,0.5534049868583679,0.5556705594062805,0.5555799305438995
3610,0.7269788980484009,0.6822526156902313,0.6840416491031647
3710,0.6990095376968384,0.6884306222200394,0.6888537853956223
3810,0.733966052532196,0.7148317396640778,0.7155970931053162
3900,3.5476983785629272,3.450017213821411,3.4543153047561646
4000,1.2880237102508545,1.2746815085411072,1.2752684950828552
4100,1.1056619882583618,1.1512293815612793,1.1492244005203247
4200,1.1493762135505676,1.1349977254867554,1.1356303095817566
4290,1.1492711305618286,1.1442531943321228,1.1444940567016602
4390,0.9862127602100372,0.9947812557220459,0.9943699836730957
4490,1.0134347677230835,1.007685363292694,1.0079613327980042
4590,1.025916039943695,1.0286424458026886,1.0285116136074066
4680,1.0017769038677216,0.9900351762771606,0.9906457364559174
4780,0.9073529541492462,0.9081715643405914,0.9081290066242218
4880,0.8353882730007172,0.8263910114765167,0.8268588781356812
4980,0.8131004273891449,0.7972215712070465,0.79804727435112
5070,0.6578862071037292,0.6490813195705414,0.6495743989944458
5170,0.7613883912563324,0.7453159689903259,0.7462159991264343
5270,0.7839340567588806,0.7802525758743286,0.7804587483406067
5370,0.873894989490509,0.8711489737033844,0.8713027834892273
5460,0.6908356845378876,0.6799901127815247,0.68064084649086
5560,0.9856841266155243,0.9975394606590271,0.9968281388282776
5660,0.7864523530006409,0.7893390357494354,0.7891658246517181
5760,0.9109710454940796,0.9357886910438538,0.934299647808075
5850,0.5962160527706146,0.5996622443199158,0.599441647529602
5950,0.6977904736995697,0.6894079446792603,0.6899444162845612
6050,0.7778933644294739,0.7655261754989624,0.7663176357746124
6150,0.6272415220737457,0.6297155320644379,0.629557192325592
6240,0.6509070247411728,0.6408781409263611,0.6415600925683975
6340,0.6856030225753784,0.7020083069801331,0.7008927166461945
6440,0.841080516576767,0.8448788225650787,0.8446205258369446
6540,0.603397011756897,0.5955288112163544,0.5960638374090195
6630,0.6490503549575806,0.6373001337051392,0.6381461322307587
6730,0.6985116004943848,0.6608073711395264,0.6635220646858215
