Round,Accuracy
1,10.68
2,32.54
3,47.41
4,54.83
5,58.18
6,61.41
7,62.01
8,62.69
9,63.05
10,64.5
11,64.52
12,64.91
13,65.38
14,65.48
15,65.96
16,65.22
17,66.26
18,66.48
19,65.71
20,66.56
21,67.1
22,66.69
23,67.05
24,66.6
25,66.94
26,67.26
27,67.55
28,67.26
29,67.28
30,66.37
31,67.56
32,66.94
33,67.93
34,67.46
35,67.14
36,67.52
37,68.61
38,67.73
39,67.84
40,67.54
41,67.58
42,68.42
43,66.75
44,68.54
45,67.3
46,68.21
47,68.47
48,68.56
49,68.55
50,68.14
