Round,Accuracy
1,14.07
2,31.72
3,34.58
4,32.6
5,36.4
6,33.87
7,36.73
8,34.15
9,38.4
10,36.42
11,39.39
12,35.23
13,39.65
14,37.23
15,40.16
16,38.56
17,41.43
18,39.1
19,42.02
20,37.0
21,40.89
22,36.79
23,41.44
24,37.62
25,43.16
