Round,Average_Accuracy,Client1,Client2
1,43.489999999999995,41.21,45.769999999999996
2,47.55,48.209999999999994,46.89
3,48.36,48.06,48.66
4,49.61,48.54,50.68
5,50.025,47.81,52.239999999999995
6,50.305,49.39,51.22
7,49.605000000000004,49.11,50.1
8,50.64999999999999,50.349999999999994,50.949999999999996
9,50.61,49.1,52.12
10,50.52,49.220000000000006,51.82
11,50.75,50.78,50.72
12,50.505,49.480000000000004,51.53
13,50.585,50.39,50.78
14,50.955,49.61,52.300000000000004
15,51.825,51.88,51.77
16,50.879999999999995,50.629999999999995,51.129999999999995
17,52.06,51.68000000000001,52.44
18,51.925,51.2,52.65
19,51.235,50.07,52.400000000000006
20,51.46,50.760000000000005,52.16
21,51.285,51.32,51.24999999999999
22,51.56999999999999,50.3,52.839999999999996
23,51.955,50.33,53.580000000000005
24,51.145,51.7,50.59
25,51.81,51.07000000000001,52.55
26,52.0,51.9,52.1
27,52.625,51.690000000000005,53.559999999999995
28,52.115,51.910000000000004,52.32
29,52.67,51.67,53.669999999999995
30,52.08,51.99,52.17
31,52.3,52.129999999999995,52.470000000000006
32,52.849999999999994,51.76,53.94
33,52.455,51.33,53.580000000000005
34,52.790000000000006,51.980000000000004,53.6
35,52.64,51.62,53.66
36,52.730000000000004,52.05,53.410000000000004
37,52.724999999999994,52.89,52.559999999999995
38,53.215,52.019999999999996,54.410000000000004
39,53.625,52.55,54.7
40,52.715,51.67,53.76
41,53.14,52.480000000000004,53.800000000000004
42,53.33,51.629999999999995,55.03
43,52.745,52.32,53.169999999999995
44,53.525,52.99,54.059999999999995
45,52.715,51.67,53.76
46,52.265,51.23,53.300000000000004
47,52.510000000000005,51.28,53.74
48,53.095,51.459999999999994,54.730000000000004
49,53.105000000000004,52.72,53.49
50,53.64,52.839999999999996,54.44
