Round,Average_Accuracy,Client1,Client2
1,38.685,37.79,39.58
2,42.05,39.22,44.879999999999995
3,44.46,39.93,48.99
4,45.69500000000001,41.010000000000005,50.38
5,46.705,40.52,52.89
6,45.675,40.45,50.9
7,46.28,41.54,51.019999999999996
8,47.655,40.92,54.39000000000001
9,45.790000000000006,40.62,50.96000000000001
10,47.29,41.589999999999996,52.99
11,46.37,40.99,51.74999999999999
12,47.43,41.22,53.64
13,47.86,41.72,54.0
14,47.30500000000001,41.31,53.300000000000004
15,46.485,40.64,52.33
16,48.065,41.83,54.300000000000004
17,46.62,40.29,52.949999999999996
18,46.879999999999995,41.31,52.449999999999996
19,47.089999999999996,42.559999999999995,51.62
20,48.26499999999999,41.959999999999994,54.56999999999999
21,49.015,41.77,56.26
22,47.725,42.44,53.010000000000005
23,48.73,42.41,55.05
24,48.715,41.68,55.75
25,47.67,41.660000000000004,53.68000000000001
26,48.849999999999994,42.03,55.669999999999995
27,47.57,39.61,55.53
28,48.445,41.58,55.31
29,48.48,43.0,53.959999999999994
30,48.864999999999995,41.089999999999996,56.64
31,47.815,40.96,54.669999999999995
32,48.17,41.370000000000005,54.97
33,49.485,42.19,56.779999999999994
34,49.18,42.39,55.97
35,49.47,42.559999999999995,56.379999999999995
36,49.045,42.28,55.81
37,49.959999999999994,42.55,57.37
38,49.615,42.42,56.81
39,50.06,42.79,57.330000000000005
40,49.935,42.25,57.620000000000005
41,49.35,42.89,55.81
42,49.5,42.66,56.34
43,49.005,41.38,56.63
44,49.38,42.53,56.230000000000004
45,49.455,42.39,56.52
46,49.3,42.77,55.83
47,49.629999999999995,43.01,56.25
48,50.465,42.64,58.29
49,49.28,42.86,55.7
50,49.945,42.85,57.04
