Round,Average_Accuracy,Client1,Client2
1,44.28,39.36,49.2
2,45.96,38.73,53.190000000000005
3,47.85000000000001,41.31,54.39000000000001
4,46.98,42.55,51.41
5,46.125,41.699999999999996,50.55
6,48.59,40.94,56.24
7,49.18,41.81,56.55
8,50.36,42.83,57.89
9,48.975,42.6,55.35
10,48.955,42.52,55.38999999999999
11,49.589999999999996,43.4,55.779999999999994
12,49.815,42.6,57.03
13,49.315,42.870000000000005,55.76
14,50.81,43.57,58.050000000000004
15,50.375,42.27,58.48
16,51.669999999999995,43.519999999999996,59.81999999999999
17,51.05,43.37,58.730000000000004
18,50.44499999999999,43.4,57.489999999999995
19,50.44,43.05,57.830000000000005
20,49.949999999999996,42.41,57.489999999999995
21,50.74,43.03,58.45
22,50.56,43.169999999999995,57.95
23,49.825,42.27,57.379999999999995
24,50.65,43.05,58.25
25,50.989999999999995,42.8,59.18
