Round,Average_Accuracy,Client1,Client2
1,44.5,43.71,45.29
2,49.275000000000006,50.32,48.230000000000004
3,51.74000000000001,51.68000000000001,51.800000000000004
4,52.925,52.73,53.12
5,53.275000000000006,53.300000000000004,53.25
6,53.775000000000006,53.68000000000001,53.87
7,53.415000000000006,53.25,53.580000000000005
8,53.69500000000001,52.6,54.790000000000006
9,55.225,54.49,55.96
10,54.845,54.26,55.43
11,53.875,54.449999999999996,53.300000000000004
12,55.150000000000006,54.2,56.10000000000001
13,55.335,54.290000000000006,56.379999999999995
14,55.335,55.24,55.43
15,56.825,55.61000000000001,58.040000000000006
16,55.82000000000001,55.02,56.620000000000005
17,56.09,55.720000000000006,56.46
18,56.265,56.730000000000004,55.800000000000004
19,55.805,54.74,56.87
20,55.795,55.879999999999995,55.71
21,56.285,54.96,57.60999999999999
22,56.71000000000001,56.11000000000001,57.31
23,56.05499999999999,55.78999999999999,56.32
24,56.16,55.779999999999994,56.54
25,56.56,55.78999999999999,57.330000000000005
26,57.06999999999999,56.53,57.60999999999999
27,56.49,56.86,56.120000000000005
28,55.885000000000005,55.93,55.84
29,56.28,55.730000000000004,56.830000000000005
30,56.349999999999994,55.169999999999995,57.53
31,56.7,55.620000000000005,57.78
32,56.55,56.04,57.06
33,56.614999999999995,55.96,57.269999999999996
34,56.155,54.37,57.940000000000005
35,56.519999999999996,56.34,56.699999999999996
36,56.83,55.059999999999995,58.599999999999994
37,56.964999999999996,56.55,57.379999999999995
38,57.565000000000005,56.910000000000004,58.220000000000006
39,56.89,57.199999999999996,56.58
40,57.28,57.14,57.42
41,57.28,57.45,57.11000000000001
42,57.88000000000001,56.82000000000001,58.940000000000005
43,55.894999999999996,54.910000000000004,56.879999999999995
44,56.405,56.02,56.79
45,56.464999999999996,55.67999999999999,57.25
46,55.86,55.04,56.68
47,57.11500000000001,56.21000000000001,58.02
48,57.17,57.220000000000006,57.120000000000005
49,57.339999999999996,56.489999999999995,58.19
50,57.739999999999995,57.19,58.29
