Round,Accuracy
1,18.62
2,46.91
3,55.08
4,60.05
5,61.24
6,61.46
7,62.41
8,63.0
9,63.85
10,62.65
11,63.86
12,63.39
13,65.02
14,65.06
15,65.07
16,64.65
17,65.17
18,65.84
19,65.72
20,65.87
21,65.96
22,66.32
23,65.51
24,66.2
25,66.19
26,65.38
27,66.24
28,66.19
29,66.28
30,66.63
31,66.58
32,67.44
33,67.06
34,67.93
35,67.45
36,66.94
37,67.45
38,67.58
39,67.78
40,67.86
41,67.98
42,67.91
43,67.64
44,68.61
45,68.03
46,68.08
47,67.74
48,67.94
49,68.29
50,67.79
