Round,Accuracy
1,14.52
2,37.67
3,45.86
4,50.7
5,48.15
6,52.52
7,55.1
8,52.46
9,53.66
10,52.7
11,54.63
12,54.15
13,54.93
14,55.97
15,56.39
16,56.32
17,58.17
18,58.3
19,58.81
20,57.41
21,58.73
22,58.77
23,58.15
24,58.66
25,58.7
26,59.31
27,59.78
28,60.49
29,59.84
30,59.85
31,59.34
32,60.09
33,58.03
34,60.12
35,58.36
36,62.79
37,60.4
38,59.85
39,59.6
40,62.83
41,62.13
42,62.02
43,59.64
44,61.43
45,60.57
46,60.52
47,61.98
48,62.68
49,60.71
50,61.64
