Round,Accuracy
1,17.21
2,48.83
3,58.67
4,60.74
5,61.67
6,61.73
7,62.4
8,63.7
9,63.77
10,63.76
11,63.24
12,63.5
13,64.42
14,64.09
15,65.13
16,65.24
17,65.9
18,66.07
19,66.54
20,65.75
21,66.74
22,67.12
23,66.03
24,66.01
25,66.15
26,66.53
27,65.87
28,66.77
29,66.99
30,67.34
31,66.84
32,67.79
33,67.21
34,67.28
35,67.33
36,67.51
37,67.05
38,67.68
39,67.1
40,67.73
41,67.24
42,67.37
43,67.31
44,67.97
45,67.47
46,67.46
47,68.5
48,68.2
49,68.47
50,67.77
