Round,Accuracy
1,16.65
2,40.8
3,50.41
4,55.47
5,57.08
6,59.82
7,59.47
8,62.75
9,63.01
10,61.21
11,63.19
12,61.92
13,64.57
14,61.43
15,61.29
16,63.78
17,65.08
18,62.93
19,64.81
20,63.71
21,65.37
22,64.97
23,65.78
24,65.12
25,66.22
26,63.87
27,66.08
28,64.73
29,66.28
30,65.95
31,66.77
32,65.25
33,65.03
34,66.09
35,66.69
36,65.77
37,66.38
38,68.23
39,67.44
40,65.55
41,66.55
42,66.24
43,68.01
44,66.34
45,68.04
46,67.18
47,67.29
48,68.3
49,68.75
50,68.54
