Round,Accuracy
1,2.49
2,9.09
3,16.11
4,20.38
5,22.17
6,23.77
7,25.0
8,26.82
9,26.4
10,26.34
11,27.35
12,27.01
13,27.67
14,28.13
15,27.91
16,27.92
17,27.81
18,28.64
19,29.31
20,28.9
21,29.37
22,29.96
23,29.67
24,29.58
25,29.77
26,29.71
27,30.06
28,30.31
29,30.05
30,30.42
31,30.13
32,29.73
33,30.79
34,30.45
35,30.64
36,30.28
37,30.49
38,30.83
39,30.65
40,31.13
41,31.28
42,30.8
43,30.59
44,31.39
45,30.91
46,31.52
47,32.2
48,32.02
49,32.43
50,32.14
