Round,Accuracy
1,1.52
2,15.52
3,23.59
4,26.5
5,28.83
6,30.04
7,31.47
8,31.53
9,31.29
10,32.69
11,32.72
12,32.32
13,32.8
14,32.67
15,32.86
16,32.88
17,33.14
18,33.06
19,33.32
20,33.64
21,33.87
22,33.77
23,34.9
24,33.96
25,33.92
26,33.81
27,34.64
28,34.17
29,35.15
30,34.57
31,34.4
32,35.07
33,34.72
34,34.59
35,35.0
36,34.67
37,34.8
38,35.08
39,35.68
40,34.89
41,34.75
42,35.39
43,35.17
44,35.67
45,35.37
46,34.86
47,34.74
48,35.83
49,35.35
50,35.38
